,0,1,Unnamed: 0,contains keyword
5,TV producers warn Channel 4 sale will scupper pandemic recovery,0.7273401618003845,51814.0,0.0
6,Blackstone secures Bill Gates support in bidding war for Signature Aviation - CityAM,0.7243794202804565,133300.0,0.0
7,"Biden weighs vaccine requirement for federal staff, Bloomberg says",0.7243714332580566,184200.0,0.0
63268,"Notable ETF Inflow Detected - VOO, MA, PYPL, HD",0.5767863988876343,92128.0,0.0
63271,Oculus Brand Is Getting Killed Off After Facebook Redubs Itself Meta,0.5767862796783447,31028.0,0.0
63272,EAD And EOD: Wells Fargo Sells Asset Management Business - The Opportunities?,0.5767861604690552,128288.0,0.0
126536,Amazon Faces Headquarters Controversy—This Time in Africa,0.5324698686599731,75680.0,0.0
126537,Apple buys self-learning AI video company to improve apps,0.5324697494506836,175003.0,0.0
126538,Adobe : The importance of creative hobbies,0.5324664115905762,45556.0,0.0
189803,"Pre-Market Earnings Report for October 14, 2021 :  UNH, BAC, WFC, MS, C, TSM, USB, WBA, DPZ, CMC",0.4801464080810547,126319.0,0.0
189807,"Luxor Capital Group, LP Buys PowerShares QQQ Trust Ser 1, Oatly Group AB, Carvana Co, Sells E2open Parent Holdings Inc, Silver Spike Acquisition Corp, ViacomCBS Inc",0.48014220595359797,77784.0,0.0
189808,"At $4 each, these #1 best-selling IRWIN One-Handed Bar Clamps are 27% off - 9to5Toys",0.4801421463489533,85512.0,0.0
253069,5 High-Quality Stocks Outperforming the S&P 500,0.1978396326303482,21430.0,0.0
253070,"Apple: Strengths, Weaknesses, Opportunities And Threats",0.19412630796432492,108638.0,0.0
253071,Is Ford's Stock Overvalued Or Undervalued?,0.19137004017829892,231406.0,0.0
